                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.5668,                 3.5345,                 1.6068,                0.69507,                0.62264,                0.65357,                0.30607,                 1.6967,                 2.2245,                 1.4986,               0.070265,              0.0033038,              0.0033038
                      1,                 1.4485,                 2.0947,                 1.4286,                0.58667,                0.48113,                0.51622,                0.25976,                 1.5615,                 2.1944,                 1.4259,               0.040101,              0.0064729,              0.0064729
                      2,                 1.4886,                  1.889,                 1.4467,                0.41922,                    0.5,                0.43322,                0.17775,                 1.8644,                 2.1784,                 1.6937,              0.0097719,               0.009477,               0.009477
                      3,                 1.5512,                 1.8514,                 1.4969,                0.39067,                0.41509,                0.32144,                0.15235,                 1.9924,                 3.1727,                 1.6878,              0.0092575,              0.0092575,              0.0092575
                      4,                 1.5173,                 1.6596,                 1.4656,                0.19406,                0.49057,                0.21765,                0.09711,                 2.0366,                  3.332,                 1.8271,              0.0092575,              0.0092575,              0.0092575
                      5,                 1.5014,                 1.5443,                 1.4599,                0.69952,                0.61321,                0.67011,                0.37663,                 1.6712,                 1.6218,                 1.4788,                0.00901,                0.00901,                0.00901
                      6,                 1.4973,                 1.4943,                 1.4555,                0.71681,                0.83962,                0.79863,                0.43543,                 1.6615,                 1.3096,                  1.426,              0.0087625,              0.0087625,              0.0087625
                      7,                 1.4139,                 1.3192,                 1.3841,                0.83441,                0.68868,                0.79577,                 0.4019,                 1.8002,                 1.2601,                 1.5297,               0.008515,               0.008515,               0.008515
                      8,                 1.3891,                 1.2771,                 1.3703,                0.49759,                0.51887,                0.42079,                0.20127,                 1.7862,                 1.8889,                 1.6275,              0.0082675,              0.0082675,              0.0082675
                      9,                 1.3749,                 1.2767,                 1.3572,                 0.8328,                0.69811,                0.81405,                0.37435,                 1.8971,                 1.2897,                 1.5582,                0.00802,                0.00802,                0.00802
                     10,                 1.3617,                 1.2355,                 1.3444,                0.61757,                0.70079,                0.65508,                 0.2775,                 1.9869,                 1.8112,                 1.6477,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.3707,                 1.1777,                 1.3561,                0.59284,                0.66981,                  0.668,                0.38122,                 1.6287,                 1.3019,                 1.4343,               0.007525,               0.007525,               0.007525
                     12,                 1.3172,                 1.1443,                 1.3292,                0.66482,                0.86792,                0.82342,                0.45113,                 1.4225,                 1.0533,                 1.3299,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.2989,                 1.1091,                 1.3179,                 0.8569,                0.79088,                0.85305,                0.49629,                 1.4905,                 1.0782,                 1.3164,                0.00703,                0.00703,                0.00703
                     14,                 1.2652,                 1.0599,                 1.2853,                 0.7529,                0.86237,                 0.8092,                0.45034,                 1.3906,                 1.0134,                 1.2491,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.2095,                 1.0052,                 1.2627,                0.82895,                0.71698,                0.77862,                0.44521,                 1.4184,                 1.0644,                  1.303,               0.006535,               0.006535,               0.006535
                     16,                 1.2076,                0.98309,                 1.2647,                0.84706,                  0.836,                0.90078,                0.52213,                 1.4572,                0.91978,                 1.2936,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.2112,                0.97308,                 1.2585,                0.80556,                0.88679,                 0.9003,                0.53255,                 1.4596,                0.86425,                 1.3045,                0.00604,                0.00604,                0.00604
                     18,                 1.2077,                 0.9548,                 1.2569,                0.90112,                0.77377,                0.88652,                 0.4687,                 1.5352,                0.97151,                 1.3607,              0.0057925,              0.0057925,              0.0057925
